,,,,,,,,Performance Expectancy,,,,,,Effort Expectancy,,,,,,Social Influence,,,,,,Facilitating Condition,,,,,,Hedonic Motivation,,,,,,Price Value,,,,,,Habit,,,,,,Health Literation,,,,,,Perceived Health Risk ,,,,,,Indigenous Knowledge / Local Wisdom,,,,,,Government Support,,,,,,Security dan Privacy,,,,,,,Trust,,,,Behaviour Intention,,,,
20 - 25 Tahun,PNS,,Sumatera Selatan,Rp5.000.000 - Rp10.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,3,,4,4,4,4,4,,4,4,3,3,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,3,4,4,4,4,,1,1,1,1,1,,4,4,4,4,4,4,,4,4,3,,4,4,4,4,4
26 - 30 Tahun,Pegawai Swasta,,Lampung,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,4,,4,4,3,3,3,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,,Jawa Barat,< Rp1.000.000,Tentang Anak,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,2,,3,3,3,3,3,,3,3,3,3,3,,4,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,4,,4,4,4,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,,Daerah Istimewa Yogyakarta,Rp1.000.000 - Rp2.500.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,4,4,3,4,3,,4,4,4,4,4,4,,4,4,4,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,,Jawa Barat,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,3,3,3,3,4,,4,4,4,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,2,,3,3,3,2,3,,3,3,2,3,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Wiraswasta/Pemilik Bisnis,,Jawa Barat,Rp5.000.000 - Rp10.000.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,1,1,3,3,,1,3,3,2,2,,2,3,3,3,3,,3,2,2,3,3,,3,1,1,1,3,,1,1,1,1,1,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,,Jawa Timur,Rp2.500.000 - Rp5.000.000,Tentang Anak,> 2 Tahun,,3,4,4,4,4,,4,4,4,2,1,,1,1,1,1,4,,4,4,4,4,4,,4,3,4,4,4,,4,1,1,4,4,,4,4,4,4,4,,4,3,4,3,4,,4,4,4,4,4,,1,1,1,1,1,,1,1,1,1,1,,4,3,4,4,4,2,,4,4,4,,4,4,3,3,3
20 - 25 Tahun,Lainnya,,Jawa Timur,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,4,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,4,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,4,4,4,4,4,,4,3,3,4,3,,4,3,3,3,3,,4,4,3,3,3,,4,4,4,4,4,4,,4,4,3,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,,Jawa Tengah,Rp5.000.000 - Rp10.000.000,Kalender saya,< 1 Tahun,,3,3,3,2,3,,4,4,4,3,3,,2,1,1,1,3,,3,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,4,3,3,4,,3,3,3,2,2,,2,2,2,2,2,,2,2,3,1,3,,1,1,1,1,1,,3,3,3,3,3,4,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,,Jawa Barat,Rp1.000.000 - Rp2.500.000,MeetYou,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,3,4,2,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,4,4,2,3,,2,2,2,3,3,,3,2,2,1,2,,2,2,1,1,1,,3,3,3,3,3,3,,3,3,4,,4,4,3,3,3
31 -35 Tahun,Pegawai Swasta,,Jawa Timur,Rp2.500.000 - Rp5.000.000,Flo,> 2 Tahun,,4,4,4,3,4,,3,4,4,4,4,,3,3,3,3,3,,3,3,3,3,4,,4,4,3,3,4,,3,3,4,3,3,,4,4,3,4,4,,3,3,3,3,3,,3,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,3,4,4,4,,3,4,4,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,,Jawa Timur,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,4,4,4,4,,4,4,4,2,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,,Jawa Barat,Rp1.000.000 - Rp2.500.000,Teman Bumil,< 1 Tahun,,4,3,3,3,3,,4,4,3,4,3,,3,4,4,4,3,,3,3,3,3,2,,3,3,3,3,3,,3,2,2,3,2,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,3,3,3,2,3,,2,2,2,2,2,,3,3,3,3,3,3,,3,3,4,,3,3,2,3,3
26 - 30 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,,Jawa Tengah,Rp5.000.000 - Rp10.000.000,HalloBumil,< 1 Tahun,,3,3,3,4,4,,4,4,3,3,4,,4,4,3,3,4,,3,3,3,4,3,,4,3,3,3,4,,4,3,3,3,3,,3,3,3,3,3,,3,4,3,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Guru / Dosen,,Bengkulu,Rp1.000.000 - Rp2.500.000,Flo,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,4,3,3,3,,3,3,2,1,2,,2,2,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Ibu rumah tangga,,Jawa Timur,Rp2.500.000 - Rp5.000.000,Tentang Anak,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,2,2,2,4,,3,4,1,1,4,,4,4,4,3,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,PNS,,Jawa Timur,Rp5.000.000 - Rp10.000.000,Flo,< 1 Tahun,,3,3,3,3,3,,3,2,3,3,3,,3,3,3,3,3,,3,3,3,4,3,,3,3,3,3,3,,4,4,4,4,4,,4,4,3,3,3,,3,4,4,4,4,,4,4,4,4,4,,3,4,2,3,3,,3,4,3,4,4,,2,3,4,3,3,3,,3,3,3,,4,3,4,3,4
20 - 25 Tahun,Guru / Dosen,,Jawa Barat,Rp1.000.000 - Rp2.500.000,Flo,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,2,2,4,3,,3,4,4,2,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,3,3,3,4,4
26 - 30 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,,DKI Jakarta,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,2,2,3,1,2,,2,2,2,2,3,,2,2,2,2,2,,3,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,3,3,3,3,3,,2,2,2,2,2,,1,1,1,1,1,,1,1,1,1,1,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,,Jawa Barat,Rp2.500.000 - Rp5.000.000,Teman Bumil,> 2 Tahun,,4,2,4,4,4,,4,4,4,4,4,,2,1,1,1,4,,4,4,1,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,1,1,1,1,,1,1,1,1,1,,4,4,4,4,4,2,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,,Jawa Timur,Rp2.500.000 - Rp5.000.000,Meet you,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,1,1,1,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,2,3,,2,1,2,4,4,,2,2,2,3,4,,4,3,2,2,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Ibu rumah tangga,,Jawa Barat,Rp5.000.000 - Rp10.000.000,theAsianparent,> 2 Tahun,,4,4,4,3,3,,4,3,3,4,4,,1,1,1,3,3,,3,4,1,4,4,,4,4,4,4,4,,4,4,3,3,3,,4,4,4,4,3,,4,3,3,2,4,,3,4,4,3,4,,2,4,3,1,3,,1,1,1,1,1,,3,2,4,3,3,3,,3,3,3,,3,2,3,4,4
> 35 Tahun,Ibu rumah tangga,,Jawa Barat,Rp5.000.000 - Rp10.000.000,Tentang Anak,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,4,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,PNS,,Jawa Tengah,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,3,3,3,3,4,,4,4,3,4,4,,4,2,3,3,3,,3,4,2,4,4,,4,3,3,4,4,,4,3,3,4,4,,3,4,3,4,3,,3,4,4,2,2,,3,3,3,4,4,,2,3,2,2,3,,3,2,3,3,3,,3,4,3,4,3,4,,4,4,4,,2,2,2,2,2
> 35 Tahun,Ibu rumah tangga,,Jawa Tengah,Rp5.000.000 - Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Lainnya,,Jawa Tengah,> Rp10.000.000,PrimaKu,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,4,,2,2,2,2,3,,3,3,3,3,3,,3,3,2,2,3,,3,2,2,2,2,,2,2,2,3,2,,3,3,3,3,3,,2,3,2,2,3,,2,2,1,1,2,,2,2,2,1,1,,2,2,2,2,2,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Pegawai Swasta,,Jawa Tengah,Rp2.500.000 - Rp5.000.000,Flo,> 2 Tahun,,3,3,3,3,3,,3,3,2,3,3,,3,3,3,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,3,3,3,2,3,,3,3,3,1,1,,4,4,4,3,3,3,,3,3,3,,2,2,2,3,3
> 35 Tahun,Wiraswasta/Pemilik Bisnis,,Jawa Tengah,Rp2.500.000 - Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Lainnya,,Jawa Tengah,Rp2.500.000 - Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,2,3,,2,3,3,3,3,,3,3,3,2,3,,2,3,3,3,3,,3,3,2,3,3,,3,2,2,3,3,,3,3,3,3,2,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Pegawai Swasta,,Jawa Tengah,Rp5.000.000 - Rp10.000.000,Teman Bumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,1,2,2,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,Ibu rumah tangga,,Jawa Tengah,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,2,1,1,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Pegawai Swasta,,Jawa Tengah,Rp2.500.000 - Rp5.000.000,Flo,1 - 2 Tahun,,2,2,2,1,2,,2,2,2,1,2,,1,4,3,2,2,,1,1,2,2,2,,2,2,3,2,2,,2,2,2,2,2,,2,2,2,2,2,,1,1,1,1,1,,1,1,1,1,1,,1,4,1,1,2,,2,3,2,1,2,,2,3,3,2,1,2,,1,2,3,,1,1,1,1,1
> 35 Tahun,Ibu rumah tangga,,Jawa Tengah,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,3,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
